Year,Overburning (%)
1901,-0.038047335
1901,0.26389813254436495
1901,1.277697736
1902,-0.052455234
1902,0.27637997755210963
1902,1.3012343703847025
1903,-0.053621599
1903,0.27784147369225964
1903,1.2584877023099743
1904,-0.041333693
1904,0.2857572836893254
1904,1.2409976255136648
1905,-0.032357634
1905,0.2903014294733732
1905,1.2152907764192427
1906,-0.035065055
1906,0.2891104880073485
1906,1.2433443155874102
1907,-0.066423309
1907,0.2730501293776547
1907,1.237045708395847
1908,-0.132106
1908,0.2690619459170544
1908,1.2275137663185194
1909,-0.163936558
1909,0.27100248970773394
1909,1.223883409651898
1910,-0.192401071
1910,0.26847569409019195
1910,1.2671537328642297
1911,-0.22371761
1911,0.2736234292331452
1911,1.2904439437056399
1912,-0.256039827
1912,0.2800998699969934
1912,1.3211423603118004
1913,-0.293897702
1913,0.28607415291779553
1913,1.3558493420493156
1914,-0.356715561
1914,0.3010950747026462
1914,1.369504968974594
1915,-0.356491749
1915,0.3152881638834309
1915,1.3976208263540033
1916,-0.362712008
1916,0.3209332445572243
1916,1.4502597854575756
1917,-0.374362684
1917,0.3791627870781613
1917,1.4958188093978502
1918,-0.315303893
1918,0.3889850131995666
1918,1.5871256498579795
1919,-0.267507866
1919,0.4627443367674457
1919,1.7550768713554388
1920,-0.244951082
1920,0.5801077220318138
1920,1.9303122099136014
1921,-0.24672506
1921,0.5740309647122159
1921,2.020652341125987
1922,-0.230480825
1922,0.6271574651065653
1922,2.112058337746818
1923,-0.227447697
1923,0.6558810303770973
1923,2.1720189436176973
1924,-0.143100388
1924,0.7068521736798289
1924,2.2304421635647316
1925,-0.107497474
1925,0.8025639245248197
1925,2.3369082910734833
1926,-0.076378655
1926,0.9177928373768155
1926,2.454335977520569
1927,-0.033481755
1927,0.9686518771876691
1927,2.5463584748455044
1928,-0.030886243
1928,1.0227808208339342
1928,2.6797441318659443
1929,0.021475354
1929,1.0758565802726539
1929,2.804378859249005
1930,-0.000646434
1930,1.1312698595735364
1930,2.9541124970075874
1931,-0.032404689
1931,1.1916117587242134
1931,3.0683988271289513
1932,-0.040910352
1932,1.2490648144239855
1932,3.166516418086908
1933,-0.073741513
1933,1.2864421875155705
1933,3.2552511437002085
1934,-0.02846424
1934,1.3427038097909858
1934,3.365812743906006
1935,0.13003429141057946
1935,1.4129920566121543
1935,3.559422480678418
1936,0.14841995683405826
1936,1.4778735086580264
1936,3.7876447252540357
1937,0.21395677850634384
1937,1.5157629682618465
1937,3.8896520309428833
1938,0.26069616309904414
1938,1.573643544074332
1938,4.027688583
1939,0.2882319559973288
1939,1.617384398351959
1939,4.189306978345388
1940,0.3066969641148441
1940,1.6715665597432359
1940,4.269740615929794
1941,0.38112665887455144
1941,1.7226033666205132
1941,4.398750458077361
1942,0.45927196206440435
1942,1.7714469536316022
1942,4.555388577521675
1943,0.5217179316082108
1943,1.8227877934045245
1943,4.632439728398523
1944,0.5650523445744706
1944,1.8638412168605518
1944,4.750245470573426
1945,0.5713136815962326
1945,1.9286089732024367
1945,4.896812262861651
1946,0.5522271427603496
1946,1.9994646242524097
1946,5.014153313
1947,0.5778859802671642
1947,2.070131302825186
1947,5.038549369687635
1948,0.6876084083623877
1948,2.1372193202484038
1948,5.115844475983442
1949,0.6850924844881272
1949,2.1819284670795023
1949,5.136184415635764
1950,0.6950457703663722
1950,2.2268716895120004
1950,5.204234543265765
1951,0.6893527450264219
1951,2.2798562829318274
1951,5.209623463220635
1952,0.6915296218235758
1952,2.3509064041340832
1952,5.361888407111966
1953,0.701006939
1953,2.429506122004371
1953,5.534410785098386
1954,0.7172056997343431
1954,2.5078780844091866
1954,5.728374041989586
1955,0.6900777058484153
1955,2.5820991190438747
1955,5.980431333709122
1956,0.7024112158090747
1956,2.6328492520177478
1956,6.176109888275429
1957,0.7187242614421233
1957,2.6962192099780156
1957,6.278188377843508
1958,0.7438634821644992
1958,2.810540422336047
1958,6.561101356016182
1959,0.7635345451405423
1959,2.8967330224224774
1959,6.657947368424182
1960,0.7971901753444902
1960,2.9937381604977755
1960,6.767610645845161
1961,0.8456873041022056
1961,3.0718302762622383
1961,6.888907286211654
1962,0.8672172084880893
1962,3.165801426882668
1962,7.005639923
1963,0.8915666828674648
1963,3.2542195678022328
1963,7.0969812193755395
1964,0.9076613462934473
1964,3.367628046880627
1964,7.398064987946465
1965,0.9735274759930848
1965,3.484767054086694
1965,7.676330510192997
1966,0.9767395252383811
1966,3.5862120038175127
1966,7.881351439266904
1967,0.9846251692654693
1967,3.6601683127247724
1967,8.081653277418322
1968,0.9714085741436779
1968,3.7658240585246805
1968,8.456549207
1969,0.984317966
1969,3.8821635102015724
1969,8.698413940643995
1970,1.0355624068502647
1970,4.167047994212021
1970,9.774158540623693
1971,1.0754462788362493
1971,4.428397973545861
1971,10.771650980383674
1972,1.1097021050401625
1972,4.698749227583747
1972,11.897361917661277
1973,1.1369407867090893
1973,4.936196958487533
1973,12.741333968796239
1974,1.1640580766857287
1974,5.204453071804621
1974,13.562223308715932
1975,1.2472000923283741
1975,5.464065404
1975,14.408536147833676
1976,1.3228897220905673
1976,5.728801335751911
1976,15.316912887678125
1977,1.3522593186956204
1977,5.9926952946112815
1977,16.273466477257866
1978,1.3633993295251061
1978,6.250044990804801
1978,17.152051121022698
1979,1.4220088465420544
1979,6.515671162247734
1979,18.09500091220032
1980,1.5123241526217144
1980,6.814616125591019
1980,19.243342448325773
1981,1.5483586870853911
1981,7.057199066140446
1981,20.261486515895815
1982,1.6135690569917278
1982,7.3368356673317745
1982,21.248502445345572
1983,1.6081046862775776
1983,7.597740899631776
1983,22.261882317919472
1984,1.643935726
1984,7.872129115400324
1984,23.408120686215707
1985,1.676999868200859
1985,8.138755810988263
1985,24.396084382613488
1986,1.680893311
1986,8.409591598704717
1986,25.427421703685944
1987,1.6939376078182573
1987,8.672540081
1987,26.661600290334075
1988,1.7913806039828963
1988,8.948222321056608
1988,27.72317424699704
1989,1.8630184071387477
1989,9.222762636986218
1989,28.768017899111197
1990,1.8747108509046313
1990,9.458880697448684
1990,29.813280623422887
1991,1.9343398336109239
1991,9.546626105895035
1991,29.943477767208165
1992,1.9954305068705456
1992,9.647358461
1992,30.178537902812185
1993,2.0858527790305166
1993,9.730668013004406
1993,30.307130143689236
1994,2.190511897144628
1994,9.813653022
1994,30.533152329994106
1995,2.2589756117138906
1995,9.916585089856186
1995,30.900079690328013
1996,2.245887226940715
1996,10.046235779426402
1996,31.326668981111833
1997,2.3000730887966925
1997,10.155331166469232
1997,31.62418676789874
1998,2.3445398347367576
1998,10.286140027027837
1998,31.704564216790825
1999,2.4721271903780213
1999,10.453651707896293
1999,32.130277840276236
2000,2.6140995024932954
2000,10.545378676923436
2000,32.49905572893351
2001,2.6517078230035804
2001,10.63792979
2001,32.83944755150846
2002,2.7397044647147046
2002,10.805074400003594
2002,33.348330073934704
2003,2.8027781722035696
2003,10.942033894941595
2003,33.67768728968957
2004,2.923622263955841
2004,11.040331299709685
2004,34.123702682688545
2005,2.977890514622995
2005,11.173701219688555
2005,34.48740987496661
2006,3.0136974858876706
2006,11.251725088972561
2006,34.72637821829945
2007,3.069769768925548
2007,11.385156862675085
2007,35.08858586253026
2008,3.194461319944582
2008,11.516189561979285
2008,35.58216801323757
2009,3.260734783128165
2009,11.669907733591483
2009,36.17146933161905
2010,3.3220529994982506
2010,11.757228666824828
2010,36.596118393004495
2011,3.390769357750111
2011,11.830958240127787
2011,36.812046500347535
2012,3.408759356883171
2012,11.902010840174773
2012,37.15018154927497
2013,3.435677032
2013,11.990992327542985
2013,37.45263299811687
2014,3.457531172308522
2014,12.092856630255223
2014,37.796298966393685
2015,3.458763893261174
2015,12.189329733875187
2015,38.07957585874321
2016,3.5112440540484764
2016,12.250598840433444
2016,38.28499468269663
2017,3.604222757
2017,12.29924901297988
2017,38.47647976424579
2018,3.624515432859686
2018,12.35744436983114
2018,38.57539055913789
2019,3.7110716717342265
2019,12.429761525457453
2019,39.07240670617494
