year,tas
1614.3133005616253,0.07210247943372633
1615.3133005616253,-0.04019395892244165
1616.3133005616253,-0.09089313700463936
1617.3133005616253,-0.12716391924881282
1618.3133005616253,-0.0017024520731301895
1619.3133005616253,0.06590302737895354
1620.3133005616253,-0.11825998631969742
1621.3133005616253,-0.09435626897557131
1622.3133005616253,-0.08638738357997272
1623.3133005616253,-0.12194519179918234
1624.3133005616253,-0.14097697262105885
1625.3133005616253,-0.08041064056028563
1626.3133005616253,-0.06688300001833386
1627.3133005616253,0.04899891778989013
1628.3133005616253,0.12368905477619546
1629.3133005616253,-0.06066036733626606
1630.3133005616253,-0.1379950548128595
1631.3133005616253,-0.130007931525211
1632.3133005616253,0.004563301351526661
1633.3133005616253,-0.0028532635111109816
1634.3133005616253,0.06559535614603601
1635.3133005616253,-0.008281630155307085
1636.3133005616253,-0.004727109607370494
1637.3133005616253,0.0043434578004048485
1638.3133005616253,0.025508232858373503
1639.3133005616253,0.17832768491313072
1640.3133005616253,0.03228247943370616
1641.3133005616253,0.06350602610636952
1642.3133005616253,-0.07401258905947589
1643.3133005616253,0.1109378218994716
1644.3133005616253,0.18143946573506992
1645.3133005616253,0.12173389495881065
1646.3133005616253,0.04105836984466532
1647.3133005616253,0.13778878080357754
1648.3133005616253,0.11676494518717345
1649.3133005616253,0.17052843047797478
1650.3133005616253,0.287457547926851
1651.3133005616253,0.37201152052959924
1652.3133005616253,0.26591124655702697
1653.3133005616253,0.24978908621567325
1654.3133005616253,0.31788275340629707
1655.3133005616253,0.2891572739542762
1656.3133005616253,0.29310960272140346
1657.3133005616253,0.4680166818440507
1658.3133005616253,0.36167124655701127
1659.3133005616253,0.19214302737889238
1660.3133005616253,0.20136138354330296
1661.3133005616253,0.191201654521637
1662.3133005616253,0.17500247943370323
1663.3133005616253,0.0712909725844379
1664.3133005616253,0.19602521915975285
1665.3133005616253,0.306943184576357
1666.3133005616253,0.40457919176246787
1667.3133005616253,0.24878713696795057
1668.3133005616253,0.1709833013515431
1669.3133005616253,0.11602105342881214
1670.3133005616253,0.3640652191597719
1671.3133005616253,0.44041179450219897
1672.3133005616253,0.4044874109405778
1673.3133005616253,0.30651695506814985
1674.3133005616253,0.41770905477618453
1675.3133005616253,0.3914074109405756
1676.3133005616253,0.3954079588858003
1677.3133005616253,0.1704904523358432
1678.3133005616253,0.16170412326936184
1679.3133005616253,0.2630279588857884
1680.3133005616253,0.294747136967987
1681.3133005616253,0.24001422282769863
1682.3133005616253,0.3898915205296471
1683.3133005616253,0.3038797397077128
1684.3133005616253,0.19992878080357696
1685.3133005616253,0.2875303430462732
1686.3133005616253,0.4675043972419412
1687.3133005616253,0.23803343833781082
1688.3133005616253,0.2161380958720424
1689.3133005616253,0.1999221463249678
1690.3133005616253,0.5038090547761722
1691.3133005616253,0.3916422054611412
1692.3133005616253,0.4699096027213609
1693.3133005616253,0.5753737856692165
1694.3133005616253,0.6188394657350951
1695.3133005616253,0.4359509725843959
1696.3133005616253,0.6198537123104184
1697.3133005616253,0.4105333485107276
1698.3133005616253,0.3779726164200265
1699.3133005616253,0.4695175479268296
1700.3133005616253,0.5930674109405796
1701.3133005616253,0.626541818456064
1702.3133005616253,0.5236482328583516
1703.3133005616253,0.7551000136802937
1704.3133005616253,0.701595630118663
1705.3133005616253,0.47916504249978925
1706.3133005616253,0.5078531643652464
1707.3133005616253,0.5431238492967505
1708.3133005616253,0.714743849296769
1709.3133005616253,0.5852664086200317
1710.3133005616253,0.7239126164200111
1711.3133005616253,0.8882687808035594
1712.3133005616253,0.6394627534062802
1713.3133005616253,0.6407562993303937
1714.3133005616253,0.787380013680308
1715.3133005616253,0.8866983698446684
1716.3133005616253,0.861382205461086
1717.3133005616253,0.8150863539752204
1718.3133005616253,0.9472811095707125
1719.3133005616253,0.9016841232693078
1720.3133005616253,0.8971243972419412
1721.3133005616253,0.7636120370353179
1722.3133005616253,0.8987150821734413
1723.3133005616253,0.9514843972419154
1724.3133005616253,0.8589564520364543
1725.3133005616253,0.8773246053413455
1726.3133005616253,0.9180268629953499
1727.3133005616253,0.973254260255646
1728.3133005616253,1.1035312465570424
1729.3133005616253,1.2559866271993083
1730.3133005616253,1.1769131643652482
1731.3133005616253,1.1006293287488116
1732.3133005616253,1.217389328748811
