Government Regulations.share of coal emissions stored:x,2020,2030,2040,2050,2060,2070,2080,2090,2100
Government Regulations.share of coal emissions stored:y,0.01,0.1,0.3,0.5,0.6,0.65,0.65,0.65,0.65
Government Regulations.share of oil emissions stored:x,2020,2030,2040,2050,2060,2070,2080,2090,2100
Government Regulations.share of oil emissions stored:y,0.01,0.08,0.25,0.45,0.55,0.6,0.6,0.6,0.6
Government Regulations.share of gas emissions stored:x,2020,2030,2040,2050,2060,2070,2080,2090,2100
Government Regulations.share of gas emissions stored:y,0.01,0.08,0.25,0.45,0.55,0.6,0.6,0.6,0.6
Government Regulations.share of biofuel process emissions stored:x,2020,2030,2040,2050,2060,2070,2080,2090,2100
Government Regulations.share of biofuel process emissions stored:y,0,0.1,0.35,0.6,0.75,0.85,0.9,0.9,0.9
Government Regulations.share of excess atmospheric CO2 stored:x,2020,2030,2040,2050,2060,2070,2080,2090,2100
Government Regulations.share of excess atmospheric CO2 stored:y,0,0,0.0003,0.001,0.0025,0.004,0.0055,0.0065,0.0075
